FIRST,SECOND,THIRD,FOURTH,FIFTH,NEAR_FIRST,TWO,THREE
816578,963894,552650,094726,526897,137053,50,334
368415,416062,665894,103591,551450,137055,33,947
294452,504706,684747,127864,554668,936684,11,006
111411,542137,796151,132694,555292,936686,54,048
777661,855158,923310,134795,564731,074945,26,885
930456,857322,945702,158102,566015,074947,15,962
207542,381012,106371,163020,570848,012652,66,234
000816,474300,119215,175496,584444,012654,94,236
154986,567467,149042,177908,590319,982799,92,312
462933,697849,173136,215982,592632,982801,96,424
015865,843433,241867,250504,596595,453010,32,293
202912,117662,323232,276530,627814,453012,48,505
169387,238718,511244,290704,628798,329230,06,518
258487,309983,511544,308673,642846,329232,00,520
689140,816189,527614,321036,650510,414874,85,247
055986,834231,889034,336187,653801,414876,58,273
776980,078456,037587,377275,657303,729110,59,604
685141,324010,187055,407388,658195,729112,05,608
994304,329322,254877,411220,659826,943670,87,090
073577,843141,550779,428376,672627,943672,67,104
186312,988774,602939,458577,681301,257373,14,126
133707,143757,716450,498875,702980,257375,03,667
215227,397183,775272,500390,703296,850347,97,158
364222,535831,931154,509691,704141,850349,97,663
959517,567679,964626,511021,723828,380376,22,685
211743,727010,973982,526260,731281,380378,96,846
360371,032855,067441,556391,737731,695992,06,213
480012,201173,251668,556576,742541,695994,12,277
444874,468006,322652,570698,748829,012376,81,524
500104,596982,341121,650475,758763,012378,73,648
480239,829622,370334,672826,772166,882910,68,130
180387,001292,382739,681736,778816,882912,34,198
210008,173159,396329,686841,781353,431276,10,752
911097,197282,472388,701302,783383,431278,64,844
354656,432873,618457,716856,804541,272027,11,418
017422,898540,684941,771335,811450,272029,66,485
488372,006124,004654,779805,814987,002611,02,627
621377,015387,061264,846814,857430,002613,42,659
191100,512579,083154,870987,858640,205433,59,425
813993,687471,170496,939207,880979,205435,43,432
181752,808648,253233,945405,896677,074113,09,460
334380,205817,294913,969626,903983,074115,24,702
884112,249853,830240,983317,921115,218595,49,267
281062,280278,924311,987397,925084,218597,23,490
610089,658543,936647,989682,956939,743211,55,741
481746,661597,998575,996021,971877,743213,27,787
656037,022019,055735,022990,011144,534532,97,413
593331,297392,144484,051390,015822,534534,96,548
814931,307599,245619,054773,018334,038729,01,942
825988,391781,301318,069094,018825,038731,44,965
054136,533515,344805,070519,024878,553090,85,311
406417,199369,391552,079324,043274,553092,05,472
562370,336120,831296,085394,049235,268811,46,732
351276,355842,840645,091819,058929,268813,88,796
622953,612981,883955,137533,073890,816577,51,344
116556,953231,915958,138461,088081,816579,12,512
218756,649320,007856,143433,098192,368414,12,630
536960,730224,072285,143656,123393,368416,62,892
724533,775857,081609,168999,131996,294451,85,056
731198,809782,109535,194237,148215,294453,28,085
511052,916738,111104,201066,184466,111410,15,371
955756,516782,180659,270803,187459,111412,83,691
805540,605291,355413,311381,201844,777660,54,077
997777,725318,611167,337301,206025,777662,57,974
408147,839197,738966,357013,224592,930455,02,085
884178,865606,740142,374718,230309,930457,21,158
526402,096352,069065,376563,234321,207541,65,124
451445,475790,160170,394754,239835,207543,81,195
320605,554026,253141,396156,239964,000815,32,200
648684,640389,372227,406176,250091,000817,18,586
222518,664166,389192,414930,250893,154985,79,008
607064,202050,529221,427222,252816,154987,08,043
257562,225627,680415,462459,257394,462932,69,584
583470,403619,797378,467329,287007,462934,62,802
889501,452222,821607,477935,289263,015864,29,001
814418,600007,944929,503452,292032,015866,31,133
882727,141994,069135,509609,297294,202911,38,001
159373,178839,079393,517800,315344,202913,51,792
915900,280031,336709,591118,348675,169386,60,193
904050,494946,348566,594953,380284,169388,11,120
895590,690715,399414,631197,387837,258486,50,355
683877,121350,442521,659671,418104,258488,28,214
329997,382340,673672,682177,434101,689139,07,370
540143,636700,844412,684831,435096,689141,79,666
124025,852781,864714,691647,448722,055985,58,747
281343,895660,979056,706455,449757,055987,28,916
524694,036610,110266,718859,459518,776979,63,339
639500,461812,424552,730109,474627,776981,15,345
110443,468326,429048,766176,475865,685140,43,639
529524,925656,539608,833456,478681,685142,72,870
302358,949383,570632,854708,481957,994303,00,096
820981,164438,651334,865913,508269,994305,08,287
565566,167700,713063,882710,512319,073576,66,490
368257,298758,797276,929242,523581,073578,09,523
976241,652395,922646,937753,543854,186311,37,344
968433,742304,925945,954605,555788,186313,52,401
571688,135506,031561,008814,571237,133706,53,486
843846,594608,221473,013644,572781,133708,86,576
603458,600082,554307,017651,577230,215226,07,236
687125,602041,565189,018259,621642,215228,56,386
935489,769902,581109,051993,632296,364221,90,408
289673,150056,620614,077856,649746,364223,69,913
646905,307485,626686,118810,666492,959516,51,161
566996,623373,860334,121859,670272,959518,86,445
356435,772113,934557,122123,701665,211742,82,457
321327,983890,978246,125078,704072,211744,20,744
548123,535227,065853,153944,712844,360370,05,027
562684,258792,108866,195807,713825,360372,63,206
647882,545038,205126,206245,727632,480011,14,413
963289,125887,235925,225881,729850,480013,60,904
739804,879166,302340,259518,733499,444873,47,378
806925,018455,318755,259840,743342,444875,28,534
168795,020460,591667,266957,752363,500103,27,557
341767,051006,723637,290708,768577,500105,79,691
561072,457024,869741,298060,789004,480238,48,204
306902,494700,873253,300230,795039,480240,52,302
180149,096634,037505,320702,797565,180386,95,311
384245,233468,059588,333546,797800,180388,01,395
906318,481670,110027,379097,801276,210007,35,324
531404,605926,241159,379421,801436,210009,79,526
028866,725389,352813,388230,801918,911096,95,644
153406,081900,356628,392805,809994,911098,26,648
103297,232624,527459,407692,815071,354655,52,285
087523,349988,543347,448487,819738,354657,20,333
781198,819218,681025,486527,824402,017421,18,421
673920,888329,797084,489716,824516,017423,95,929
378477,022606,022422,522146,826747,488371,39,068
468728,101572,297380,525692,829221,488373,45,589
766391,456836,317639,528954,833811,621376,82,824
662842,642100,376253,545636,838564,621378,91,877
856763,870893,412561,545913,843790,191099,22,013
772269,342933,599842,596237,844156,191101,35,260
375615,401597,703135,630774,878887,813992,44,617
656409,684568,780665,640722,887155,813994,94,957
206608,715935,930359,651279,887264,181751,44,305
479804,865578,996901,666681,895560,181753,25,715
480449,248913,002589,676277,902936,334379,11,803
948354,494135,040229,676462,918673,334381,90,959
461704,683798,220980,684297,935764,884111,57,094
244351,709418,267895,707837,939273,884113,74,197
155537,801512,300384,731803,951740,281061,79,831
001864,044951,303461,774627,960250,281063,90,984
240237,075669,581249,823725,968497,610088,34,266
048151,130909,678984,861126,969979,610090,92,800
605704,789868,757581,894175,978482,481745,70,842
506260,846233,960638,934277,999823,481747,38,885
543466,100141,011886,037911,000954,656038,30,015
011421,166340,152808,049245,006142,656036,38,427
388881,257676,322133,049962,006208,593330,65,660
644742,845706,324666,060793,012651,593332,05,777
759049,960743,609474,075729,038257,814930,26,115
121507,562166,633274,077315,056633,814932,49,434
518677,637500,726093,086799,057416,825987,53,939
033363,749293,750887,088324,066069,825989,40,961
021094,752246,755791,145952,069175,054135,89,224
260,972908,848203,147583,078995,054137,06,238
403,025622,110918,158990,080311,406416,07,295
819,061332,162874,198634,087239,406418,62,665
068,367139,185833,224653,090045,562369,45,063
743148,573315,282748,232888,104309,562371,03,228
435,876288,291944,244200,124237,351275,78,424
209,281421,460561,246088,125508,351277,08,929
375,344982,506406,251789,126402,622952,02,044
084,614680,578120,253518,139075,622954,50,113
594825,824971,836000,253563,139430,116555,09,363
175,950619,873367,257233,170598,116557,98,572
918,176156,071443,276464,181829,218755,06,007
440,211709,165883,299853,194739,218757,32,179
799,250879,355375,309956,196197,536959,92,570
968630,686108,391620,351519,197183,536961,87,954
457,753326,833247,383294,202027,724532,02,222
134,068339,151772,436004,204290,724534,98,301
412,076845,273768,441412,221882,731197,14,549
054,453662,369190,442406,221927,731199,79,947
361211,598255,421744,475069,229808,511051,53,362
106,772978,982277,513827,257556,511053,55,368
757,077096,044626,526019,258400,955755,57,838
166,330423,121098,535620,259538,955757,33,892
473,388391,198394,539096,262057,805539,62,097
795283,616986,357888,549039,277274,805541,42,240
241,826882,403764,604562,277335,997776,33,242
028,253526,439671,612443,299663,997778,98,642
643,505237,476951,615619,304267,408146,86,044
802,527546,568590,618394,306333,408148,44,125
915350,684004,571813,675187,311200,884177,77,179
238,852122,911261,733252,314465,884179,35,954
181,254090,068426,803591,325975,526401,46,107
714,269116,281618,834756,350642,526403,25,233
175,287416,433775,873456,355760,451444,42,385
930255,800040,544761,882412,359216,451446,14,799
140,949530,601089,890045,363312,320604,78,005
250,087412,627242,891125,370593,320606,92,177
094,209911,670767,903567,375350,648683,80,356
638,272148,905828,906753,376405,648685,40,836
008217,596135,911213,910145,390628,222517,35,239
246,956610,937016,963759,391206,222519,53,374
264,039319,042455,006886,401861,607063,61,421
895,666064,278838,010756,418739,607065,47,688
596,783634,441894,017702,427181,257561,26,292
304371,808482,555549,071477,430403,257563,87,577
031,911892,710785,088649,437874,583469,36,658
532,029453,865973,100567,453582,583471,37,843
786,037616,897405,139848,459940,889500,65,435
743,122799,911632,155114,460054,889502,71,446
927800,639439,926806,180110,462910,814417,52,447
625,864569,956459,204488,467919,814419,86,924
999,401910,120195,216864,478262,882726,85,166
054,556619,160954,240253,491375,882728,98,200
076,568325,277212,242989,498506,159372,33,353
356364,728085,530379,247518,502589,159374,89,539
699,868141,674628,252712,512983,915899,98,255
312,076474,677649,295979,513585,915901,50,714
309,799644,713229,299322,522714,904049,31,435
535,812278,784679,367742,546141,904051,39,249
439686,836291,854543,424874,585553,895589,29,122
530,948090,967670,473085,624551,895591,82,135
426,204159,031362,493916,647343,683876,85,174
155,282926,058739,499606,674466,683878,60,226
743,747871,160005,534004,681115,329996,85,366
134918,818187,342122,537191,720529,329998,20,465
877,872680,418154,558483,752632,540142,95,642
855,039886,457652,567891,755792,540144,46,923
973,113102,564885,585688,757203,124024,83,072
004,287508,601264,591674,765365,124026,27,299
066720,786725,766634,614410,770586,281342,78,536
546,905768,991525,636289,775103,281344,10,952
390,397243,063642,660130,783547,524693,26,188
285,575881,259261,664569,793477,524695,79,252
852,743024,305520,684633,808103,639499,99,412
221609,947426,396448,689887,811465,639501,93,937
228,956689,418879,721387,814968,110442,58,142
008,042920,490787,721523,816986,110444,16,524
507,312702,631450,727737,827088,529523,67,694
523,424777,754519,739812,832502,529525,62,775
399459,567219,835549,749740,864095,302357,02,337
238,710109,847908,798512,875158,302359,65,419
403,069034,121947,813844,886453,820980,04,598
671,336089,127079,860779,892021,820982,56,993
046,357011,231975,873473,920473,565565,65,413
141737,406800,233780,873657,930953,565567,64,459
975,660339,259577,877714,931685,368256,52,646
382,404322,284571,919631,944901,368258,23,781
268,496026,339022,958375,945720,976240,25,403
087,563812,381825,968659,950247,976242,71,577
511825,599972,463877,994134,956428,968432,46,694
775,944693,518500,999963,977202,968434,29,936
111,057931,013666,008036,010482,571687,86,026
937,148595,027971,041703,013715,571689,88,137
880,372360,054925,050965,018286,843845,58,362
073816,660771,354949,054279,047859,843847,89,985
804,854532,379450,081037,053272,603457,20,457
251,169964,382713,098235,056672,603459,85,627
749,292125,427280,113982,072675,687124,59,374
321,373983,587290,144892,077660,687126,15,470
082460,533197,812496,155237,088750,935488,79,229
169,944511,868646,164555,095352,935490,32,619
609,013827,043089,170000,120815,289672,81,756
302,489881,055612,171499,129106,289674,97,996
173,891645,112855,180383,135581,646904,81,040
449764,946096,194447,212116,158364,646906,68,174
734,955710,324196,235851,158562,566997,06,447
552,545013,374313,290591,173426,566995,94,663
925,716017,441536,308386,174906,356434,98,154
158,751861,590647,322315,175050,356436,77,285
272932,821525,603436,327324,178175,321326,22,744
538,961428,913450,408508,204582,321328,24,811
983,028923,232761,420575,213877,548122,64,040
871,064025,010761,430617,231049,548124,83,382
472,128893,385714,461092,234156,562683,53,517
254004,225850,689471,469659,243664,562685,92,618
966,370610,139540,469881,245253,647881,88,008
366,374000,237000,542147,254011,647883,98,151
596,640785,420151,608323,263030,963288,57,293
631,685315,912577,658823,286322,963290,59,770
638684,718892,383811,672116,292981,739803,38,298
335,818233,517982,673596,295251,739805,40,374
334,181342,054263,680511,302726,806924,46,673
669,301064,227831,681408,322961,806926,84,996
630,339624,320335,709076,339704,168794,70,200
240650,640763,452805,720971,340298,168796,19,628
583,793196,502409,753489,346147,341766,15,681
493,139865,526105,755410,364715,341768,97,816
160,509876,723411,761056,366624,561071,39,450
043,563571,816163,774472,369572,561073,73,893
887102,728759,828900,780269,390524,306901,19,918
280,910125,993013,783747,396948,306903,05,961
194,106979,064672,784604,400633,180148,56,024
458,375433,066623,802661,403721,180150,18,219
017,467651,123200,842006,406661,384244,14,309
571947,551213,245659,883365,406790,384246,45,572
692,937347,507294,899266,411625,906317,17,182
885,229989,565864,906563,418093,906319,29,191
032,239981,602748,923043,467465,531403,70,727
587,503177,695436,934757,480045,531405,69,769
785438,574555,737884,963285,485688,028865,23,448
976,933041,920486,972256,487378,028867,79,578
824,289128,150351,011879,523358,153405,90,689
752,368501,417694,027059,535445,153407,83,986
038,626196,521460,150660,535532,103296,38,096
858383,883087,533337,169439,564576,103298,95,570
682,958821,621155,171933,582456,087522,57,656
040,431772,693845,195992,589992,087524,82,784
570,653117,793413,202452,611349,781197,83,103
558,692039,797241,235232,617822,781199,36,316
086069,725788,978589,249391,626348,673919,92,431
513,903062,994894,257803,631839,673921,30,075
873,000299,121965,262511,636655,378476,57,003
148,016146,140058,277650,640205,378478,07,091
450,217216,151077,278534,651228,468727,03,246
435286,457938,357627,306870,681436,468729,10,996
596,559002,539786,308377,682207,766390,58,310
366,138072,572155,350010,692041,766392,09,385
716,184369,697384,353733,700548,662841,06,518
199,311144,800920,358186,714361,662843,02,872
377712,675680,828136,397306,737697,856762,92,653
890,729336,846222,429276,738184,856764,61,739
304,137138,037799,495011,738999,772268,53,801
477,172387,076072,565104,745899,772270,14,968
769,316711,249499,583864,752822,375614,42,129
145157,636706,349490,598350,754259,375616,83,763
511,795004,423667,613766,754338,656408,75,907
663,438769,539376,675014,760208,656410,50,979
516,593178,559482,680108,760739,206607,15,086
836,872497,607969,697784,765257,206609,70,470
054672,926806,725044,715604,769616,479803,64,474
066,939581,740008,768860,772002,479805,08,664
807,045998,016680,769976,783391,480448,14,306
426,369715,344350,778266,827065,480450,58,315
628,805435,458554,785547,856135,948353,47,529
229116,842613,461752,796432,857955,948355,92,533
464,960407,721601,828617,861169,461703,80,153
128,161324,774432,837775,864815,461705,55,186
953,471341,811050,842384,866292,244350,73,933
375,496778,848650,872624,874883,244352,99,936
978453,772996,924154,881828,876509,155536,71,185
560,787267,976023,883595,881786,155538,65,227
450,047571,162982,887347,887660,001863,99,546
577,076154,256271,889104,911380,001865,09,758
052,191813,294456,902051,919379,240236,30,121
273863,372047,463608,905036,920513,240238,16,361
918,539618,574496,908275,939725,048150,62,432
324,007384,665973,943800,949836,048152,11,596
941,499842,691974,946489,958102,605703,67,384
694,735054,720613,963294,981771,605705,91,388
392785,754286,721821,978852,983072,506259,46,510
057,941434,811329,996966,985779,506261,66,535
020,198906,152556,024034,001098,543465,44,544
500,477603,247380,034059,016124,543467,63,357
709,495075,406260,064399,025473,011420,14,926
816729,603286,445506,070826,039940,011422,91,396
766,850653,500931,097115,040304,388880,85,209
973,022922,586784,099613,045622,388882,89,463
241,149276,645282,123511,088178,644741,61,737
807,397364,897367,133976,094023,644743,09,945
008656,486865,905083,136343,106641,759048,43,723
949,886942,908585,161116,133555,759050,79,584
573,003690,142490,172212,141338,121506,78,040
773,081429,299991,207730,141881,121508,90,036
923,335969,308774,211226,172130,518676,79,263
454891,418378,345473,237079,176218,518678,17,213
396,454783,366661,256703,188549,033362,60,397
008,260941,378965,274382,196835,033364,42,593
603,350358,796727,279283,202074,021093,31,133
490,777902,861905,313826,209285,021095,89,421
053630,864439,917790,327668,212615,743147,21,524
121,870674,926271,328143,221674,743149,46,945
218,153891,021036,329892,232253,594824,28,044
581,338552,044914,378363,239751,594826,94,071
881,417257,143714,396553,260135,968629,37,700
943142,468232,220949,538380,269989,968631,59,889
626,927635,242238,545632,271389,361210,00,346
878,251922,264757,549721,273292,361212,32,556
740,452705,502313,555516,277310,795282,38,656
373,709572,581388,586028,285756,795284,61,801
112360,809445,626966,588256,285863,915349,21,486
226,915006,788755,598643,286794,915351,51,167
489,089453,080307,651002,290528,930254,23,162
688,220768,099802,667682,290638,930256,51,582
005,484505,112052,672618,298627,008216,50,390
820327,764115,118020,685035,332945,008218,54,160
835,877126,152575,711062,333909,304370,32,780
584,167432,162857,738366,335052,304372,36,463
390,190605,311023,790325,337675,927799,85,052
823,519877,767448,795588,339210,927801,06,227
756519,651990,940098,801223,340107,356363,87,534
061,772041,943875,824172,346341,356365,20,609
386,030494,142676,830186,355011,439685,06,221
787,084448,241781,855946,355490,439687,91,583
989,794459,462873,879024,364796,134917,26,660
715431,841396,602707,900624,371302,134919,50,703
115,888140,642077,922285,395970,066719,63,814
302,335355,665761,964025,410094,066721,31,345
253,522445,757472,982167,418670,221608,58,074
945,671244,781397,985955,424686,221610,77,005
143224,701372,854333,988106,438360,399458,61,847
345,846774,974941,992673,444168,399460,87,021
679,212083,114327,009826,449299,141736,37,533
278,251345,171975,050867,452196,141738,22,821
195,638475,240543,069199,481019,511824,52,384
170143,656164,468332,073048,490868,511826,,645
172,722517,581440,094197,514325,073815,,812
647,098622,643909,107374,537240,073817,,589
340,245057,806820,178839,538164,082459,,104
388,760942,837995,180291,562174,082461,,189
880714,764060,887312,185413,565838,449763,,499
611,850821,935695,197010,579413,449765,,957
726,014092,114480,284802,587642,272931,,057
462,342266,192655,286369,595499,272933,,329
952,384509,408307,291575,626355,254003,,507
413494,463505,421301,389681,638228,254005,,991
180,920120,421332,417141,649910,638683,,065
971,096835,467155,428761,655025,638685,,221
287,104173,527903,437420,686048,240649,,380
128,348227,686512,453136,694435,240651,,771
533726,579668,770293,470310,712722,887101,,425
165,856098,906587,490233,716644,887103,,551
425,057062,016667,503644,725301,571946,,406
485,221254,017877,504926,733572,571948,,993
036,301500,090504,512563,748194,785437,,922
292391,351912,328749,555374,759914,785439,,253
961,620379,331880,555577,768292,858382,,857
831,059875,486233,560707,772862,858384,,739
477,093531,657629,572645,778034,086068,,784
628,117487,743189,576686,784778,086070,,235
451005,119865,803813,579569,791954,435285,,295
626,945771,961153,637747,793506,435287,,651
303,150586,000214,669326,800148,377711,,168
601,313033,227892,684534,819432,377713,,026
257,410306,343418,687667,837961,145156,,541
955596,678717,347638,713283,869763,145158,,597
616,843180,596318,725121,881898,054671,,328
836,480104,727395,739570,885808,054673,,150
290,550799,937744,748286,903202,229115,,941
938,578585,937831,755511,907946,229117,,639
911234,879243,973983,791848,921970,978452,,749
495,880649,993207,826385,923463,978454,,426
373,139062,342847,855113,926899,273862,,498
953,203931,397382,876227,934926,273864,,598
504,779625,554136,882922,935121,392784,,906
203823,831467,565115,892412,942495,392786,,214
624,882706,575597,895260,959309,816728,,111
799,063782,595721,898427,963205,816730,,420
236,462058,786447,921305,987561,008655,,295
397,485114,831862,933341,988536,008657,,135
026853,537938,903390,946226,989679,454890,,711
106,634112,992324,984120,990089,454892,,199
947,050761,015433,044951,004189,053629,,606
181,201514,100135,055054,008666,053631,,333
519,458306,332515,058730,012757,943141,,573
309915,649068,410131,060080,029266,943143,,350
007,101795,754504,062857,042385,112359,,581
388,620475,766247,073487,044384,112361,,074
230,678279,771024,106920,049143,820326,,616
748,727509,776943,138597,055525,820328,,332
759415,957215,907875,192920,062920,756518,,088
318,963872,931431,196596,086538,756520,,216
870,721802,073164,205987,097443,715430,,722
723,740544,171135,226710,101885,715432,,754
589,973021,216209,259729,102133,143223,,426
218559,486891,260453,278257,113753,143225,,468
720,607820,491664,279630,114269,170142,,589
064,348938,531130,317999,130506,170144,,597
205,529248,544578,319088,143564,880713,,101
489,539050,756798,405652,156712,880715,,309
412073,599386,836031,443460,161484,413493,,504
131,770053,841870,458894,166178,413495,,902
787,033306,009029,477675,169133,533725,,399
638,217538,049531,481060,179368,533727,,576
924,409744,076688,493870,195304,292390,,606
739229,761418,195889,510268,199183,292392,,895
273,990228,247221,542008,237790,451004,,238
654,300724,340967,544330,248405,451006,,479
076,791841,538670,573834,248741,955595,,547
526,798813,581814,587712,281097,955597,,790
248038,927599,682660,622680,282458,911233,,530
980,933275,960482,625441,286981,911235,,611
527,099772,381600,638048,289631,203822,,656
225,161001,458414,670664,302761,203824,,715
602,195474,494880,694555,319619,026852,,042
075629,971173,630395,696846,323872,026854,,159
357,984513,703786,717115,334680,309914,,224
130,568952,736823,718338,339726,309916,,897
506,710475,754070,738438,350050,759414,,599
047,372404,851982,775531,358701,759416,,745
988117,424365,867614,789948,360359,218558,,796
553,331377,971573,801174,374248,218560,,820
310,123805,023722,808488,377138,412072,,032
248,187879,130765,822461,382469,412074,,612
650,413877,296243,828779,396967,739228,,730
223131,741786,373498,878458,397021,739230,,775
432,814010,550707,884161,400351,248037,,148
507,104802,577685,907092,407283,248039,,598
132,238665,723308,912633,430057,075628,,639
868,773320,853328,914030,433269,075630,,736
963623,850793,871331,979862,436333,988116,,123
901,883206,893711,986010,438525,988118,,242
429,300678,021766,003308,472503,223130,,752
210,325341,136036,007404,483943,223132,,770
217,403945,148438,016272,488397,963622,,291
596324,411013,465704,032726,517510,963624,,554
403,654649,473749,033383,517828,596323,,873
530,999204,639968,047407,518814,596325,,940
138,973756,744606,056702,518824,386601,,089
362,239782,767554,089946,536903,386603,,152
386602,715412,867174,146290,541683,586116,,396
832,921964,874835,180803,550712,586118,,868
903,200700,119312,282169,568552,734509,,188
549,571134,144318,282308,572194,734511,,217
726,694542,186679,291491,590344,149759,,285
586117,931425,598818,315995,599966,149761,,338
670,940708,600087,360544,602336,452642,,560
340,601312,611053,364278,606209,452644,,576
815,677995,616014,389018,615318,200514,,627
591,683600,730739,397508,622171,200516,,804
734510,725259,835338,408384,625138,149839,,303
512,802980,922594,412584,634990,149841,,434
464,115296,072271,422866,636380,989902,,489
202,135655,209193,439202,657438,989904,,553
097,272895,225220,446817,730700,021839,,008
149760,436327,371790,481322,731065,021841,,734
323,719119,503463,484164,731269,356563,,745
539,103502,669394,495986,743410,356565,,778
155,177029,676949,497331,751871,735866,,126
297,228579,756173,587594,777287,735868,,589
452643,460813,768124,597095,788087,197078,,832
726,962089,880494,598299,799987,197080,,864
594,106185,015767,608044,808219,967133,,196
810,331351,075604,614011,811419,967135,,334
561,914795,076538,615473,811543,074823,,374
200515,306931,135440,662790,833430,074825,,555
392,898586,422093,671422,837663,345649,,452
186,027748,718343,687533,838061,345651,,641
212,752950,764640,700790,850934,724627,,695
192,845496,907953,722142,865232,724629,,782
149840,285304,997890,723502,873596,109766,,657
384,518836,999524,731635,881369,109768,,708
576,157594,016634,769793,886543,570330,,109
046,369725,156055,787569,891460,570332,,386
509,505194,248234,790048,908665,061323,,133
989903,759280,275861,790580,925617,061325,,721
471,946500,374183,801214,927286,962525,,775
930,021880,396599,913683,944610,962527,,972
140,269585,611009,921519,950009,516460,,175
876,306099,737165,930054,958889,516462,,529
021840,862685,759581,969629,967453,174054,,860
045,967456,762411,983720,996029,174056,,959
307,224304,069646,008092,007486,943646,,170
561,234593,101458,079993,018783,943648,,430
988,370101,138560,106171,039585,369764,,670
356564,626135,160422,119858,042768,369766,,725
480,676686,178364,133394,048033,387005,,828
948,471036,212227,140139,053635,387007,,834
297,912778,263757,150962,062524,775475,,862
369,213372,394044,195735,062950,775477,,906
735867,994777,832422,244797,073187,798786,,272
031,542908,914839,276316,076419,798788,,359
913,382917,082354,288081,083116,340387,,516
701,693587,261753,291140,097665,340389,,830
884,930227,510745,310302,099506,691196,,034
197079,732718,692173,313300,104430,691198,,261
206,656079,792039,318213,112728,812563,,390
412,432305,805155,324546,121646,812565,,945
127,680340,866501,340093,128679,967374,,480
660,739190,930331,367256,139035,967376,,713
967134,319675,943298,376121,156850,017222,,716
643,260928,981253,390672,169305,017224,,768
779,173506,018503,418454,179766,453521,,098
197,464801,144529,445162,180582,453523,,114
948,112810,218411,452107,184795,529923,,390
074824,758152,218976,476175,192255,529925,,502
881,803142,461849,516614,192717,510540,,075
910,575154,606956,523576,229122,510542,,284
612,702982,676084,525563,234424,491773,,903
879,297879,723401,526775,244860,491775,,904
345650,959731,852314,536423,257013,589226,,352
137,226110,936196,544298,265997,589228,,210
999,219517,006641,548001,271543,781402,,584
830,173402,066948,572997,273701,781404,,526
837,233360,262729,579829,283810,875937,,329
724628,189468,293285,621049,285661,875939,,451
148,305949,299784,629569,300692,503445,,718
883,372828,472861,670040,310190,503447,,880
154,430239,486008,747094,311092,051094,,201
877,515049,605750,767143,319822,051096,,417
109767,606377,772965,775882,346462,831566,,448
888,806245,832494,798311,358327,831568,,945
959,042376,134008,842333,361901,516966,,045
403,221008,517511,911273,362018,516968,,281
975,560676,663088,925049,372714,347257,,570
570331,592744,709724,969289,401200,347259,,800
512,738125,782498,973957,410423,873285,,056
930,233030,834217,978763,424842,873287,,235
966,264585,835514,980885,429851,569390,,574
968,458845,875325,984216,436580,569392,,754
061324,491760,891075,992167,445363,945810,,028
043,703878,969347,992973,449827,945812,,324
476,185177,052829,007514,452970,999996,,576
374,377222,063802,017171,456480,999998,,650
699,386831,298105,019279,456483,244082,,402
962526,472605,347821,063718,457049,244084,,529
669,966326,450022,103484,467518,837892,,876
949,206112,508455,103891,508461,837894,,952
018,438124,547246,109420,511748,286050,,020
